symbol,roa,roe,mce,niev,aegr,afcf,inc,avrt,wacc,ytd,exp_rat,debt / assets,inc / earn,roc
SWSS,-0.09,-0.41,235.5,-0.0,0.0,0.0,,-0.3,-0.3,-6.33,0.0,0.0,0.0,-0.12
SWN,-0.09,-1.44,2.75,-0.0,-160.85,-108.29,['1929'],-0.81,-0.25,-3.73,0.96,0.44,0.48,-0.12
SWKS,0.18,0.23,2.82,0.1,24.09,-7.58,['1962'],0.3,0.21,5.43,0.67,0.26,0.01,0.19
SWKH,0.06,0.06,0.92,0.11,201.64,-9.12,['1996'],0.09,,,0.45,,0.0,0.06
SWK,0.05,0.12,1.2,0.13,41.31,332.73,['1843'],0.11,0.09,9.99,0.87,0.15,0.09,0.06
SWIR,-0.1,-0.17,3.94,-0.08,78.99,-178.85,['1993'],-0.18,-0.17,-7.26,1.13,0.02,-0.01,-0.14
SWIM,-0.01,-0.03,1.13,-0.16,-187.88,198.36,,-0.02,0.02,-49.8,1.06,0.33,-0.68,-0.02
SWI,0.0,-0.0,0.6,-0.04,166.46,37.26,['1999'],0.0,-0.0,inf,0.96,0.39,2.33,0.0
SWET,-0.02,-0.24,-15.61,0.0,0.0,0.0,,-0.14,-0.14,-8.54,0.0,0.0,0.0,-0.19
SWCH,0.0,0.04,25.09,0.0,43.05,-18.52,,0.02,0.03,50.3,0.82,0.55,0.45,0.0
SWBI,0.22,0.34,1.56,0.34,-322.36,5.84,['1852'],0.39,,,0.7,,0.01,0.3
SWAV,-0.31,-0.06,36.46,-0.0,-11.07,-1112.71,,-0.34,-0.32,-6.14,1.0,0.03,-1.26,-0.37
SVVC,-0.17,-0.18,0.09,-0.91,-185.65,-91513.76,,-0.26,-0.26,-6.45,0.52,0.0,0.0,-0.18
SVT,0.05,0.08,0.79,0.14,1276.35,-1080.81,['1959'],0.09,0.09,12.01,1.08,0.08,-0.05,0.06
SVRE,-10.99,-0.3,0.0,0.0,0.0,-28.58,,-11.14,-11.14,-111.49,0.0,0.0,-0.0,3.69
SVRA,-0.43,-0.6,1.29,-0.23,-7.59,-0.02,,-0.73,-0.64,-7.77,inf,0.1,-0.06,-0.47
SVNA,0.04,-0.41,-14.19,0.03,0.0,0.0,,-0.16,-0.16,-7.85,0.0,0.0,0.0,0.04
SVM,0.06,0.09,0.94,0.06,-4.12,-3.23,,0.1,0.1,11.0,0.69,0.0,0.0,0.07
SVII,-0.02,-1.08,0.0,0.0,0.0,0.0,,-0.56,-0.56,-7.39,0.0,0.0,0.0,-1.08
SVFD,-1.58,1.61,0.53,-1.41,0.0,-30.9,,-0.78,,,0.0,,-0.0,-8.4
SVFB,-0.79,-14.1,-48.74,-0.0,0.0,0.0,,-7.84,-7.84,-78.53,0.0,0.0,0.0,-14.19
SVFA,-0.41,2.33,-12.85,0.02,0.0,0.0,,0.76,0.76,8.92,0.0,0.0,0.0,2.49
SVC,-0.01,-0.08,0.81,-0.43,-35.04,504.9,,-0.05,0.03,-19.7,1.09,0.78,-2.71,-0.01
SUZ,-0.01,-0.26,0.9,0.64,-293.7,-31.88,['1924'],-0.14,0.02,-6.94,0.6,0.64,0.23,-0.02
SURG,-0.85,-0.06,21.56,-0.18,167.09,-31.93,,-0.88,0.48,3.66,1.12,0.28,-1.25,-0.21
SURF,-0.15,-0.33,0.37,-1.81,96.65,-176.38,,-0.32,-0.25,-5.62,29.29,0.13,-0.03,-0.17
SUPV,-0.01,-0.06,0.01,-5.4,-127.53,-368.47,['1887'],-0.04,-0.04,-25.4,1.03,0.0,0.0,-0.04
SUPN,0.08,0.17,2.35,0.03,-14.59,1.11,,0.16,0.13,7.55,0.82,0.22,0.22,0.1
SUP,-0.07,2.74,-1.72,0.03,-140.2,-224.38,['1957'],1.3,-0.1,-0.23,0.96,0.57,0.73,-0.08
SUNW,-0.26,-0.62,0.92,-0.4,66.86,-16.03,,-0.57,,,1.23,,-0.02,-0.47
SUNL,-0.02,-0.18,0.26,-1.66,-1156.91,350.56,,-0.11,,,1.28,,-0.04,0.03
SUN,0.04,0.28,4.39,0.15,-45.44,-55.53,['1886'],0.18,0.08,6.36,0.96,0.54,0.22,0.04
SUMO,-0.29,0.04,1.95,-0.15,44.53,-1.01,,-0.27,-0.27,-6.4,1.47,0.0,-0.0,-0.61
SUM,0.02,0.06,1.93,0.04,69.52,-27.89,,0.05,0.05,20.5,0.9,0.38,0.37,0.03
SUI,0.02,0.04,2.54,0.02,73.66,-21.33,,0.04,0.03,25.3,0.79,0.42,0.35,0.02
SUAC,-0.0,0.04,0.0,0.0,0.0,0.0,,0.02,0.02,50.2,0.0,0.0,0.0,-0.0
SU,0.02,0.03,1.33,0.08,-152.11,-199.9,1917,0.04,0.04,25.4,0.84,0.17,0.15,0.02
STZ,0.05,0.1,4.05,-0.0,-5744.86,-5.27,['1945'],0.1,0.07,10.7,0.66,0.37,0.12,0.05
