symbol,lookahead,adj growth rate,wacc,terminal val,dcf,current price,future price,growth,niev,adj growth,avg roc,cash,net_margin,roa
AAOI,-46037700.0,6.61,0.056299999999999996,-93083229.81,-453916950277353.8,2.32,-16628456.36,-716743909.0,-0.86,6.61,-0.12,0.32,-0.26,-0.1
ERIC,19289900000.0,1.3,0.0533,3467262500000.0,15806650582688.66,6.55,4746.74,72369.0,1.03,1.3,0.05,0.43,0.1,0.03
CAAS,9392500.0,-0.34,0.1139,648376079.73,-83278158.6,7.22,-2.7,-137.0,0.05,-0.34,0.01,0.37,0.02,0.01
XELB,-10356400.0,-0.32,0.0704,-182033333.33,-445377218.95,0.8398,-22.77,-2811.0,-0.74,-0.32,-0.06,0.43,-0.32,-0.05
EMITF,-17423300.0,-1.12,0.0177,157539013.45,,1.35,,,-1.6,-1.12,16.45,20.09,-inf,-0.19
NWLI,153578850.0,0.18,0.10210000000000001,4553802748.09,-6306805601.13,216.87,-1835.5,-946.0000000000001,0.23,0.18,0.01,10.42,0.22,0.01
ANY,-14695650.0,0.34,0.1869,525849108.37,-1034202735.17,0.31,-16.41,-5394.0,-0.88,0.34,-4.84,10.44,-4.65,-0.85
MOGO,-28227650.0,0.27,0.1459,-285755178.91,-487183758.52,0.6121,-6.38,-1142.0,-0.71,0.27,-0.13,1.99,-0.81,-0.11
EHTH,-88718750.0,60.95,0.0342,20899655696.2,-1.56234143096036e+23,5.29,-5920628734014045.0,-1.1192114809100283e+17,-0.75,60.95,0.01,1.09,-0.19,0.01
KTCC,2870450.0,-0.43,0.0666,70794285.71,-1023365432.56,4.8351,-95.09,-2067.0,0.06,-0.43,0.0,0.01,0.01,0.0
HTGM,-14573394.5,0.02,0.0885,-329316166.07,-490897872.84,0.3211,-64.87,-20302.0,-7.06,0.02,-0.64,0.97,-1.92,-0.49
ABEO,-72195600.0,0.1,0.1412,-424797875.17,-859146961.7,3.99,-5.86,-247.00000000000003,-0.15,0.1,-0.73,1.98,-28.31,-0.57
OXLCO,0.0,0.0,0.07,-13363915898.67,-20699608085.0,21.25,-569.34,-2779.0,0.32,0.0,-0.06,0.71,0.0,-0.05
FLNT,-8550150.0,-1.95,0.138,126177215.19,43111702.22,1.22,0.55,-55.00000000000001,-0.1,-1.95,-0.03,0.59,-0.03,-0.02
AQB,-18974199.8,0.2,0.0894,-291802092.78,-727748190.84,0.7,-10.25,-1564.0,-0.45,0.2,-0.27,15.03,-19.0,-0.26
OXLCM,0.0,0.0,0.07,-13363915898.67,-20699608085.0,24.72,-569.34,-2403.0,0.27,0.0,-0.06,0.71,0.0,-0.05
CONN,91974250.0,-8.22,0.0447,115055720000.0,-552040540042023.06,9.86,-18702714.41,-189682802.0,0.37,-8.22,0.04,0.03,0.07,0.03
GIFI,-18842800.0,0.18,0.011000000000000001,-1045872413.79,-4853464647.33,5.38,-312.08,-5901.0,-0.26,0.18,-0.21,1.77,-0.24,-0.14
GEOS,-11947600.0,28.93,0.0924,-34536898.4,-1.885933811488632e+19,4.4,-1452763360336.96,-33017349098667.0,-0.25,28.93,-0.08,0.92,-0.15,-0.07
AUTO,0.0,0.0,0.011000000000000001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRBP,-38794362.1,0.06,0.0984,-887494787.23,-1096153926.25,0.1311,-8.75,-6773.999999999999,-2.78,0.06,-2.26,1.47,-51.76,-1.04
ASMB,-110376750.0,0.18,0.054299999999999994,-5397241379.31,-23664605565.02,1.31,-494.44,-37844.0,-2.07,0.18,-0.41,2.84,-20.76,-0.38
KELYB,0.0,0.0,0.1377,994512922.47,-674419612.31,16.89,-200.81,-1289.0,0.23,0.0,0.03,0.1,0.0,0.02
KELYA,132685000.0,-0.2,0.011000000000000001,1590588235.29,11937202304.43,17.11,331.3,1836.0,0.23,-0.2,0.03,0.1,0.03,0.02
MTBC,2410600.0,1.61,0.0645,650480000.0,2407574320.66,3.495,161.86,4531.0,0.05,1.61,-0.03,0.32,0.02,-0.03
YY,-76099650.0,-0.01,0.0304,-37498133333.33,5719558482.47,29.85,73.37,146.0,-0.04,-0.01,0.08,0.73,-0.03,0.07
CNET,-2340900.0,0.39,0.0723,-242971428.57,,0.6121,,,-0.13,0.39,-0.6,0.81,-0.06,-0.31
ASPU,-8147913.85,0.08,0.0541,-385553295.83,-4005070973.74,0.336,-159.98,-47713.0,-1.14,0.08,-0.16,0.39,-0.12,-0.13
CEMI,-28817999.65,0.43,0.1197,1042203042.76,-626514537.45,0.2993,-20.85,-7066.0,-3.77,0.43,-0.39,1.88,-0.71,-0.32
ASRV,6011200.0,0.02,0.0707,361093167.7,-776555043.65,4.02,-45.46,-1231.0,0.1,0.02,0.04,0.04,0.13,0.01
OPRA,-37369400.0,0.33,0.0894,580383030.3,528895690.07,5.06,4.59,-9.0,-0.08,0.33,0.06,1.45,-0.18,0.05
CASI,-31155900.0,0.11,0.0432,-3051291803.28,-1759941889.3,1.95,-12.59,-746.0,-0.13,0.11,-0.36,2.94,-1.21,-0.33
BLUE,-696471300.0,0.12,0.0542,-40373840000.0,-163079318139.62,8.49,-2326.14,-27499.0,-1.38,0.12,-0.76,1.05,-223.75,-0.61
IFRX,-38785550.15,0.17,0.133,-446182052.47,-549646436.8,2.59,-12.44,-580.0,-0.4,0.17,-0.39,1.4,-inf,-0.34
BWEN,2419950.0,-0.98,0.0535,-781335135.14,-4423813000.0,1.79,-227.08,-12786.0,0.08,-0.98,-0.14,0.02,0.02,-0.07
DWSN,-24727350.0,0.16,0.0928,-288692857.14,-432625193.79,2.02,-18.3,-1006.0,-0.61,0.16,-0.23,3.34,-1.18,-0.2
MBIO,-56414500.0,0.2,0.1198,-620266986.79,-923731914.62,0.4992,-9.98,-2099.0,-1.42,0.2,-0.68,10.14,-inf,-0.61
APEI,15089200.0,0.05,0.067,1007473103.45,-31924969.83,13.78,-1.71,-112.00000000000001,0.07,0.05,0.05,1.47,0.04,0.04
NYMT,164220000.0,-0.81,0.0799,3657429873.42,1577513712.28,2.9,4.16,43.0,0.18,-0.81,,168.28,0.66,-0.0
EZPW,7320200.0,-6.7,0.056900000000000006,2388215081.97,,10.17,,,0.02,-6.7,-0.0,1.64,0.01,-0.0
NYMTN,0.0,0.0,0.07,4815616000.0,3992213000.0,20.2,28.27,40.0,0.18,0.0,,168.28,0.0,-0.0
CMTL,-28094200.0,-2.84,0.0986,387597241.38,-470031838.58,12.63,-17.84,-241.0,-0.1,-2.84,-0.02,0.11,-0.07,-0.02
FNHC,-87635000.0,-17.63,0.0688,-6697564625.85,7.963575995675368e+17,0.01,45644647448.4,456446474483900.0,-590.94,-17.63,-0.06,0.09,-0.42,-0.03
BBGI,-1194968.25,-0.48,0.0472,364216572.97,,1.06,,,-0.05,-0.48,0.0,1.15,-0.01,0.0
GDS,-1075132700.0,0.32,0.0417,2810959941463.42,-473249710560.37,17.22,-2532.13,-14805.000000000002,-0.36,0.32,-0.02,0.74,-0.16,-0.02
BHF,-91800000.0,-0.52,0.0702,24551898734.18,-204920812923.04,55.03,-2567.32,-4765.0,-0.02,-0.52,-0.0,0.27,-0.02,-0.0
MESA,14099800.0,-0.09,0.0418,67835130434.78,4685213210.3,1.27,130.28,10158.0,0.36,-0.09,0.03,0.47,0.03,0.02
HALL,7653400.0,33.01,0.0473,5398309090.91,5.492609805879925e+19,0.645,3022484416497.41,468602235115778.0,0.77,33.01,-0.07,0.28,0.02,-0.01
CNFR,-929900.0,-0.91,0.0737,190944000.0,-60103531.66,1.61,-6.19,-484.0,-0.07,-0.91,-0.05,0.07,-0.01,-0.02
BILI,-5770843800.0,0.82,0.0617,-84896209708.74,-530271996853.13,19.84,-1384.83,-7080.0,-0.89,0.82,-0.14,0.62,-0.35,-0.1
NBEV,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JD,-3026000000.0,-0.87,0.032799999999999996,-15166840000000.01,1340379317041.09,58.64,862.94,1372.0,-0.04,-0.87,0.06,0.32,-0.0,0.04
AAME,3638850.0,-7.51,0.0421,276177777.78,-8776718199241.81,2.89,-430683.08,-14902629.0,0.07,-7.51,0.01,0.5,0.02,0.01
AGFS,-4609550.0,-0.03,0.0935,1071066176.47,804703508.07,2.94,15.37,423.00000000000006,-0.04,-0.03,-0.05,1.25,-0.03,-0.04
AMBC,-14450000.0,-0.47,0.0111,4634013605.44,-34999612784.62,16.36,-755.86,-4720.0,-0.02,-0.47,-0.01,0.0,-0.08,-0.01
DXYN,1373600.0,-1.0,0.06570000000000001,-462674193.55,-1492324636.94,1.07,-100.88,-9528.0,0.1,-1.0,-0.02,0.03,0.0,-0.01
NNBR,-11241250.0,-0.12,0.1045,513274160.58,-344355645.81,1.78,-8.0,-549.0,-0.17,-0.12,-0.11,0.39,-0.03,-0.1
